Stud_Id, Stud_age, Stud_sex, Advisor_id, col0, col1, col2, col3, col4, col5, col6, col7, col8, col9, col10, col11, col12, col13, col14, col15, col16, col17, col18, col19, col20, col21, col22, col23, col24, col25, col26, col27, col28, col29, col30, col31, col32, col33, col34, col35, col36, col37, col38, col39, col40, col41, col42, col43, col44, col45, col46, col47, col48, col49
6, 20, 0, 8, 81, 51, 55, 74, 26, 7, 70, 80, 93, 23, 41, 17, 62, 88, 93, 45, 15, 20, 45, 1, 93, 40, 7, 54, 28, 7, 81, 13, 38, 72, 94, 87, 43, 50, 8, 65, 69, 49, 85, 19, 44, 96, 52, 100, 40, 29, 5, 32, 48, 12
6, 20, 0, 8, 81, 51, 55, 74, 26, 7, 70, 80, 93, 23, 41, 17, 62, 88, 93, 45, 15, 20, 45, 1, 93, 40, 7, 54, 28, 7, 81, 13, 38, 72, 94, 87, 43, 50, 8, 65, 69, 49, 85, 19, 44, 96, 52, 100, 40, 29, 5, 32, 48, 12
6, 20, 0, 8, 81, 51, 55, 74, 26, 7, 70, 80, 93, 23, 41, 17, 62, 88, 93, 45, 15, 20, 45, 1, 93, 40, 7, 54, 28, 7, 81, 13, 38, 72, 94, 87, 43, 50, 8, 65, 69, 49, 85, 19, 44, 96, 52, 100, 40, 29, 5, 32, 48, 12
6, 20, 0, 8, 81, 51, 55, 74, 26, 7, 70, 80, 93, 23, 41, 17, 62, 88, 93, 45, 15, 20, 45, 1, 93, 40, 7, 54, 28, 7, 81, 13, 38, 72, 94, 87, 43, 50, 8, 65, 69, 49, 85, 19, 44, 96, 52, 100, 40, 29, 5, 32, 48, 12
6, 20, 0, 8, 81, 51, 55, 74, 26, 7, 70, 80, 93, 23, 41, 17, 62, 88, 93, 45, 15, 20, 45, 1, 93, 40, 7, 54, 28, 7, 81, 13, 38, 72, 94, 87, 43, 50, 8, 65, 69, 49, 85, 19, 44, 96, 52, 100, 40, 29, 5, 32, 48, 12
6, 20, 0, 8, 81, 51, 55, 74, 26, 7, 70, 80, 93, 23, 41, 17, 62, 88, 93, 45, 15, 20, 45, 1, 93, 40, 7, 54, 28, 7, 81, 13, 38, 72, 94, 87, 43, 50, 8, 65, 69, 49, 85, 19, 44, 96, 52, 100, 40, 29, 5, 32, 48, 12
6, 20, 0, 8, 81, 51, 55, 74, 26, 7, 70, 80, 93, 23, 41, 17, 62, 88, 93, 45, 15, 20, 45, 1, 93, 40, 7, 54, 28, 7, 81, 13, 38, 72, 94, 87, 43, 50, 8, 65, 69, 49, 85, 19, 44, 96, 52, 100, 40, 29, 5, 32, 48, 12
6, 20, 0, 8, 81, 51, 55, 74, 26, 7, 70, 80, 93, 23, 41, 17, 62, 88, 93, 45, 15, 20, 45, 1, 93, 40, 7, 54, 28, 7, 81, 13, 38, 72, 94, 87, 43, 50, 8, 65, 69, 49, 85, 19, 44, 96, 52, 100, 40, 29, 5, 32, 48, 12
15, 20, 0, 2, 99, 44, 74, 57, 74, 19, 40, 38, 4, 2, 72, 53, 15, 73, 30, 40, 86, 68, 42, 58, 98, 12, 93, 48, 64, 36, 59, 57, 2, 60, 99, 51, 36, 6, 26, 70, 98, 86, 95, 82, 29, 58, 77, 33, 94, 95, 80, 15, 69, 79
15, 20, 0, 2, 99, 44, 74, 57, 74, 19, 40, 38, 4, 2, 72, 53, 15, 73, 30, 40, 86, 68, 42, 58, 98, 12, 93, 48, 64, 36, 59, 57, 2, 60, 99, 51, 36, 6, 26, 70, 98, 86, 95, 82, 29, 58, 77, 33, 94, 95, 80, 15, 69, 79
